"id"	"id2"	"id3"	"sex"	"weight"	"TL"	"radmm"	"date"	"area"	"age"	"agei"	"ecotype"
"BH-01869"	23	43	"f"	3300	730	1.129	"17.12.2019"	"SB"	4	4	1
"BH-01882"	9	44	"f"	NA	670	0.4582	"12.11.2020"	"GB"	2	1	3
"BH-01882"	9	44	"f"	NA	670	0.8412	"12.11.2020"	"GB"	2	2	3
"BH-01883"	13	45	"f"	NA	870	0.4529	"12.11.2020"	"GB"	5	1	2
"BH-01883"	13	45	"f"	NA	870	0.7033	"12.11.2020"	"GB"	5	2	2
"BH-01883"	13	45	"f"	NA	870	0.9021	"12.11.2020"	"GB"	5	3	2
"BH-01883"	13	45	"f"	NA	870	1.0336	"12.11.2020"	"GB"	5	4	2
"BH-01883"	13	45	"f"	NA	870	1.2025	"12.11.2020"	"GB"	5	5	2
"BH-01885"	14	46	"f"	NA	796	0.5102	"27.11.2020"	"GB"	2	1	2
"BH-01885"	14	46	"f"	NA	796	0.7443	"27.11.2020"	"GB"	2	2	2
"BH-01889"	24	47	"f"	NA	837	0.6695	"27.11.2020"	"GB"	4	1	1
"BH-01889"	24	47	"f"	NA	837	0.9205	"27.11.2020"	"GB"	4	2	1
"BH-01889"	24	47	"f"	NA	837	1.1487	"27.11.2020"	"GB"	4	3	1
"BH-01889"	24	47	"f"	NA	837	1.31	"27.11.2020"	"GB"	4	4	1
"BH-01891"	25	48	"f"	4348	870	0.3859	"27.11.2020"	"GB"	8	1	1
