"ID"	"ID2"	"sex"	"weight_g"	"TL_mm"	"rad_mm"	"area"	"age"	"lifeyear"	"ecotype_char"	"ecotype_num"
"BH-01814"	51	"m"	3600	780	0.3263	"WRB"	6	1	"BW-resident"	1
"BH-01814"	51	"m"	3600	780	0.5887	"WRB"	6	2	"BW-resident"	1
"BH-01814"	51	"m"	3600	780	0.8708	"WRB"	6	3	"BW-resident"	1
"BH-01814"	51	"m"	3600	780	1.1435	"WRB"	6	4	"BW-resident"	1
"BH-01814"	51	"m"	3600	780	1.3553	"WRB"	6	5	"BW-resident"	1
"BH-01814"	51	"m"	3600	780	1.5584	"WRB"	6	6	"BW-resident"	1
"BH-01819"	52	"m"	2800	680	0.3961	"WRB"	4	1	"BW-resident"	1
"BH-01819"	52	"m"	2800	680	0.7673	"WRB"	4	2	"BW-resident"	1
"BH-01819"	52	"m"	2800	680	0.916	"WRB"	4	3	"BW-resident"	1
"BH-01819"	52	"m"	2800	680	1.188	"WRB"	4	4	"BW-resident"	1
"BH-01835"	53	"m"	3800	820	0.4102	"WRB"	7	1	"BW-resident"	1
"BH-01835"	53	"m"	3800	820	0.6737	"WRB"	7	2	"BW-resident"	1
"BH-01835"	53	"m"	3800	820	0.8258	"WRB"	7	3	"BW-resident"	1
"BH-01835"	53	"m"	3800	820	1.0183	"WRB"	7	4	"BW-resident"	1
"BH-01835"	53	"m"	3800	820	1.1226	"WRB"	7	5	"BW-resident"	1
"BH-01835"	53	"m"	3800	820	1.2146	"WRB"	7	6	"BW-resident"	1
"BH-01835"	53	"m"	3800	820	1.3616	"WRB"	7	7	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	0.5636	"NRB"	12	1	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	0.7964	"NRB"	12	2	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	0.9192	"NRB"	12	3	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	1.0288	"NRB"	12	4	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	1.1647	"NRB"	12	5	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	1.3751	"NRB"	12	6	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	1.5135	"NRB"	12	7	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	1.6338	"NRB"	12	8	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	1.72	"NRB"	12	9	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	1.8828	"NRB"	12	10	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	1.9857	"NRB"	12	11	"BW-resident"	1
"BH-01846"	54	"f"	NA	880	2.1308	"NRB"	12	12	"BW-resident"	1
"BH-01850"	55	"f"	NA	910	0.564	"NRB"	6	1	"BW-resident"	1
"BH-01850"	55	"f"	NA	910	0.8965	"NRB"	6	2	"BW-resident"	1
"BH-01850"	55	"f"	NA	910	1.0584	"NRB"	6	3	"BW-resident"	1
"BH-01850"	55	"f"	NA	910	1.2403	"NRB"	6	4	"BW-resident"	1
"BH-01850"	55	"f"	NA	910	1.4	"NRB"	6	5	"BW-resident"	1
"BH-01850"	55	"f"	NA	910	1.4966	"NRB"	6	6	"BW-resident"	1
"BH-01855"	56	"m"	2500	722	0.3768	"WRB"	8	1	"BW-resident"	1
"BH-01855"	56	"m"	2500	722	0.6229	"WRB"	8	2	"BW-resident"	1
"BH-01855"	56	"m"	2500	722	0.7791	"WRB"	8	3	"BW-resident"	1
"BH-01855"	56	"m"	2500	722	0.9353	"WRB"	8	4	"BW-resident"	1
"BH-01855"	56	"m"	2500	722	1.0715	"WRB"	8	5	"BW-resident"	1
"BH-01855"	56	"m"	2500	722	1.2415	"WRB"	8	6	"BW-resident"	1
"BH-01855"	56	"m"	2500	722	1.3462	"WRB"	8	7	"BW-resident"	1
"BH-01855"	56	"m"	2500	722	1.4667	"WRB"	8	8	"BW-resident"	1
"BH-01860"	57	"f"	7900	940	0.4555	"WRB"	7	1	"BW-resident"	1
"BH-01860"	57	"f"	7900	940	0.7192	"WRB"	7	2	"BW-resident"	1
"BH-01860"	57	"f"	7900	940	0.9673	"WRB"	7	3	"BW-resident"	1
"BH-01860"	57	"f"	7900	940	1.1777	"WRB"	7	4	"BW-resident"	1
"BH-01860"	57	"f"	7900	940	1.3011	"WRB"	7	5	"BW-resident"	1
