"ID"	"age"	"cohort"	"capt"	"TL_mm"	"weight_g"	"sex"	"date"	"core"	"lifeyear"	"year"	"increment_um"	"rad_um"	"total_rad_um"	"quality"
"BH-01588"	10	2010	"KJB"	1050	NA	"f"	NA	175.4	3	2013	167.7	819.8	1774	3
"BH-01588"	10	2010	"KJB"	1050	NA	"f"	NA	175.4	4	2014	149.5	969.3	1774	3
"BH-01588"	10	2010	"KJB"	1050	NA	"f"	NA	175.4	5	2015	138.4	1107.7	1774	3
"BH-01588"	10	2010	"KJB"	1050	NA	"f"	NA	175.4	6	2016	110.2	1217.9	1774	3
"BH-01588"	10	2010	"KJB"	1050	NA	"f"	NA	175.4	7	2017	119.9	1337.8	1774	3
"BH-01588"	10	2010	"KJB"	1050	NA	"f"	NA	175.4	8	2018	149.5	1487.3	1774	3
"BH-01588"	10	2010	"KJB"	1050	NA	"f"	NA	175.4	9	2019	138.4	1625.7	1774	3
"BH-01588"	10	2010	"KJB"	1050	NA	"f"	NA	175.4	10	2020	148.3	1774	1774	3
"BH-01594"	2	2018	"WB"	630	NA	"f"	NA	271.6	1	2019	569	569	869	3
"BH-01594"	2	2018	"WB"	630	NA	"f"	NA	271.6	2	2020	300	869	869	3
"BH-01595"	4	2016	"WB"	690	NA	"m"	NA	172.8	1	2017	518.8	518.8	1182.9	3
"BH-01595"	4	2016	"WB"	690	NA	"m"	NA	172.8	2	2018	256.2	775	1182.9	3
"BH-01595"	4	2016	"WB"	690	NA	"m"	NA	172.8	3	2019	199.5	974.5	1182.9	3
"BH-01595"	4	2016	"WB"	690	NA	"m"	NA	172.8	4	2020	208.4	1182.9	1182.9	3
"BH-01596"	2	2018	"GJB"	660	NA	"f"	NA	285.4	1	2019	556.4	556.4	833.5	3
"BH-01596"	2	2018	"GJB"	660	NA	"f"	NA	285.4	2	2020	277.1	833.5	833.5	3
"BH-01598"	4	2016	"GJB"	750	NA	"f"	NA	259.2	1	2017	536.1	536.1	1280.8	3
"BH-01598"	4	2016	"GJB"	750	NA	"f"	NA	259.2	2	2018	238.5	774.6	1280.8	3
"BH-01598"	4	2016	"GJB"	750	NA	"f"	NA	259.2	3	2019	211.3	985.9	1280.8	3
"BH-01598"	4	2016	"GJB"	750	NA	"f"	NA	259.2	4	2020	294.9	1280.8	1280.8	3
"BH-01713"	7	2013	"SB"	980	7200	"f"	2020-01-08	211.6	1	2014	656.1	656.1	1649.4	3
"BH-01713"	7	2013	"SB"	980	7200	"f"	2020-01-08	211.6	2	2015	233	889.1	1649.4	3
"BH-01713"	7	2013	"SB"	980	7200	"f"	2020-01-08	211.6	3	2016	182.3	1071.4	1649.4	3
"BH-01713"	7	2013	"SB"	980	7200	"f"	2020-01-08	211.6	4	2017	178.1	1249.5	1649.4	3
"BH-01713"	7	2013	"SB"	980	7200	"f"	2020-01-08	211.6	5	2018	167.1	1416.6	1649.4	3
"BH-01713"	7	2013	"SB"	980	7200	"f"	2020-01-08	211.6	6	2019	124	1540.6	1649.4	3
"BH-01713"	7	2013	"SB"	980	7200	"f"	2020-01-08	211.6	7	2020	108.8	1649.4	1649.4	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	1	2008	445.4	445.4	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	2	2009	202.6	648	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	3	2010	129	777	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	4	2011	128.6	905.6	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	5	2012	137	1042.6	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	6	2013	164.3	1206.9	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	7	2014	134.2	1341.1	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	8	2015	106.8	1447.9	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	9	2016	74	1521.9	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	10	2017	71.2	1593.1	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	11	2018	136.9	1730	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	12	2019	101.5	1831.5	1954.8	3
"BH-01717"	13	2007	"BEG"	1040	NA	"f"	NA	118.7	13	2020	123.3	1954.8	1954.8	3
"BH-01719"	1	2018	"SB"	550	1400	"f"	2019-12-23	120.1	1	2019	595	595	825.7	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	1	2008	405.7	405.7	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	2	2009	193.6	599.3	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	3	2010	141.5	740.8	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	4	2011	157.3	898.1	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	5	2012	159.3	1057.4	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	6	2013	95.8	1153.2	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	7	2014	168.1	1321.3	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	8	2015	108.5	1429.8	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	9	2016	112.1	1541.9	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	10	2017	100.1	1642	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	11	2018	102.9	1744.9	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	12	2019	77.9	1822.8	1897.3	3
"BH-01722"	13	2007	"BEG"	950	NA	"f"	NA	101.8	13	2020	74.5	1897.3	1897.3	3
"BH-01731"	9	2011	"SB"	950	6800	"m"	2020-01-08	147.3	1	2012	462.1	462.1	1752.5	3
"BH-01731"	9	2011	"SB"	950	6800	"m"	2020-01-08	147.3	2	2013	201.9	664	1752.5	3
"BH-01731"	9	2011	"SB"	950	6800	"m"	2020-01-08	147.3	3	2014	157	821	1752.5	3
"BH-01731"	9	2011	"SB"	950	6800	"m"	2020-01-08	147.3	4	2015	148	969	1752.5	3
"BH-01731"	9	2011	"SB"	950	6800	"m"	2020-01-08	147.3	5	2016	124.5	1093.5	1752.5	3
"BH-01731"	9	2011	"SB"	950	6800	"m"	2020-01-08	147.3	6	2017	164	1257.5	1752.5	3
"BH-01731"	9	2011	"SB"	950	6800	"m"	2020-01-08	147.3	7	2018	161.5	1419	1752.5	3
"BH-01731"	9	2011	"SB"	950	6800	"m"	2020-01-08	147.3	8	2019	155.1	1574.1	1752.5	3
"BH-01731"	9	2011	"SB"	950	6800	"m"	2020-01-08	147.3	9	2020	178.4	1752.5	1752.5	3
"BH-01737"	8	2012	"KB"	1130	11500	"f"	2020-02-27	224.9	1	2013	430.6	430.6	1444	3
"BH-01737"	8	2012	"KB"	1130	11500	"f"	2020-02-27	224.9	2	2014	194.1	624.7	1444	3
"BH-01737"	8	2012	"KB"	1130	11500	"f"	2020-02-27	224.9	3	2015	249.1	873.8	1444	3
"BH-01737"	8	2012	"KB"	1130	11500	"f"	2020-02-27	224.9	4	2016	163.7	1037.5	1444	3
"BH-01737"	8	2012	"KB"	1130	11500	"f"	2020-02-27	224.9	5	2017	143.9	1181.4	1444	3
"BH-01737"	8	2012	"KB"	1130	11500	"f"	2020-02-27	224.9	6	2018	120.6	1302	1444	3
"BH-01737"	8	2012	"KB"	1130	11500	"f"	2020-02-27	224.9	7	2019	94.8	1396.8	1444	3
"BH-01737"	8	2012	"KB"	1130	11500	"f"	2020-02-27	224.9	8	2020	47.2	1444	1444	3
"BH-01738"	7	2012	"SB"	860	5400	"f"	2019-12-23	233.9	1	2013	430.9	430.9	1401.8	3
"BH-01738"	7	2012	"SB"	860	5400	"f"	2019-12-23	233.9	2	2014	200.2	631.1	1401.8	3
"BH-01738"	7	2012	"SB"	860	5400	"f"	2019-12-23	233.9	3	2015	250.1	881.2	1401.8	3
"BH-01738"	7	2012	"SB"	860	5400	"f"	2019-12-23	233.9	4	2016	158.5	1039.7	1401.8	3
"BH-01738"	7	2012	"SB"	860	5400	"f"	2019-12-23	233.9	5	2017	130.9	1170.6	1401.8	3
"BH-01738"	7	2012	"SB"	860	5400	"f"	2019-12-23	233.9	6	2018	113.1	1283.7	1401.8	3
"BH-01738"	7	2012	"SB"	860	5400	"f"	2019-12-23	233.9	7	2019	118.1	1401.8	1401.8	3
"BH-01741"	6	2014	"KD"	750	NA	"f"	NA	120.1	1	2015	483	483	1419.9	3
